OpenCTD,,,,,,Commercial CTD,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C
6.63,6.75,6.75,3853.5,28.85,5.81,25.99,5.8249,25.99,5.82
6.63,6.75,6.75,3853.6,28.85,5.81,25.99,5.8252,25.99,5.83
6.63,6.75,6.75,3853.9,28.86,5.81,25.997,5.8249,26,5.82
6.63,6.69,6.69,3852.6,28.84,5.77,25.99,5.825,25.99,5.83
6.63,6.75,6.69,3852.6,28.84,5.79,25.987,5.8248,25.99,5.82
6.63,6.69,6.69,3852.6,28.84,5.77,25.99,5.8251,25.99,5.83
6.63,6.69,6.75,3852.9,28.85,5.79,25.997,5.825,26,5.83
6.63,6.75,6.69,3852.4,28.84,5.79,25.99,5.8248,25.99,5.82
6.63,6.75,6.69,3852.6,28.84,5.79,25.987,5.8252,25.99,5.83
6.63,6.75,6.69,3852.8,28.84,5.79,25.99,5.8252,25.99,5.83
6.63,6.75,6.69,3853.9,28.86,5.79,25.987,5.8252,25.99,5.83
6.63,6.75,6.75,3854,28.86,5.81,25.99,5.8252,25.99,5.83
6.69,6.75,6.75,3852.9,28.85,5.83,25.987,5.8251,25.99,5.83
6.63,6.75,6.75,3852.9,28.85,5.81,25.99,5.8253,25.99,5.83
6.69,6.69,6.75,3851.7,28.83,5.81,25.997,5.825,26,5.83
6.69,6.75,6.75,3852.5,28.84,5.83,25.99,5.8249,25.99,5.82
6.69,6.75,6.75,3852.2,28.84,5.83,25.987,5.825,25.99,5.83
6.63,6.75,6.75,3854.3,28.86,5.81,25.99,5.8249,25.99,5.82
6.63,6.75,6.75,3853.5,28.85,5.81,25.978,5.825,25.98,5.83
6.69,6.75,6.75,3853.5,28.85,5.83,26.001,5.8252,26,5.83
6.69,6.75,6.75,3851.3,28.83,5.83,25.99,5.8254,25.99,5.83
6.69,6.75,6.69,3851.4,28.83,5.81,25.987,5.8253,25.99,5.83
6.69,6.75,6.75,3852.5,28.84,5.83,25.981,5.8252,25.98,5.83
6.69,6.69,6.69,3856,28.88,5.79,25.997,5.8248,26,5.82
6.69,6.75,6.75,3852.8,28.84,5.83,25.981,5.825,25.98,5.83
6.63,6.69,6.69,3852.9,28.85,5.77,25.997,5.8248,26,5.82
6.63,6.75,6.75,3850.7,28.82,5.81,25.99,5.8248,25.99,5.82
6.63,6.69,6.75,3828.6,28.6,5.79,25.987,5.8251,25.99,5.83
6.63,6.75,6.75,3803.9,28.35,5.81,25.99,5.8248,25.99,5.82
6.63,6.69,6.69,3777.3,28.07,5.77,25.997,5.825,26,5.83
6.63,6.75,6.69,3754.3,27.84,5.79,25.99,5.8249,25.99,5.82
6.63,6.75,6.69,3729.3,27.59,5.79,25.987,5.8255,25.99,5.83
6.63,6.75,6.69,3704.4,27.33,5.79,25.99,5.8254,25.99,5.83
6.63,6.75,6.69,3677.1,27.05,5.79,25.987,5.8256,25.99,5.83
6.63,6.75,6.69,3653.1,26.81,5.79,25.99,5.8256,25.99,5.83
6.63,6.75,6.69,3629.4,26.57,5.79,25.997,5.8259,26,5.83
6.63,6.75,6.75,3607.8,26.35,5.81,25.99,5.8258,25.99,5.83
6.69,6.75,6.75,3590.6,26.17,5.83,25.99,5.8259,25.99,5.83
6.69,6.75,6.75,3588.8,26.15,5.83,25.997,5.8258,26,5.83
6.63,6.81,6.81,3590.5,26.17,5.85,25.99,5.8255,25.99,5.83
6.69,6.81,6.81,3589.1,26.16,5.87,25.997,5.8252,26,5.83
6.69,6.75,6.81,3589.9,26.16,5.85,25.99,5.825,25.99,5.83
6.69,6.81,6.81,3588.6,26.15,5.87,25.997,5.8252,26,5.83
6.69,6.75,6.81,3589.5,26.16,5.85,26.001,5.8252,26,5.83
6.69,6.75,6.81,3590.4,26.17,5.85,25.997,5.8254,26,5.83
6.69,6.75,6.75,3590.3,26.17,5.83,25.99,5.8255,25.99,5.83
6.69,6.75,6.75,3589.1,26.16,5.83,25.997,5.8253,26,5.83
6.63,6.69,6.75,3592.3,26.19,5.79,26.001,5.8252,26,5.83
6.69,6.69,6.75,3592.1,26.19,5.81,25.997,5.8253,26,5.83
6.69,6.69,6.75,3592,26.19,5.81,26.001,5.8252,26,5.83
6.69,6.69,6.75,3588.7,26.15,5.81,26.007,5.8255,26.01,5.83
6.69,6.69,6.75,3588.7,26.15,5.81,26.001,5.8252,26,5.83
6.69,6.69,6.75,3591,26.18,5.81,26.007,5.8254,26.01,5.83
6.69,6.69,6.75,3592.2,26.19,5.81,26.001,5.8253,26,5.83
6.69,6.69,6.75,3591.1,26.18,5.81,26.001,5.8254,26,5.83
6.69,6.69,6.75,3589.1,26.16,5.81,25.997,5.8253,26,5.83
6.69,6.69,6.75,3587.1,26.14,5.81,26.001,5.8255,26,5.83
