OpenCTD,,,,,,Commercial CTD,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C
6.63,6.81,6.69,3851.6,28.83,5.81,26.142,5.825,26.14,5.83
6.63,6.75,6.69,3851.5,28.83,5.79,26.118,5.8252,26.12,5.83
6.63,6.75,6.69,3851.5,28.83,5.79,26.111,5.825,26.11,5.83
6.63,6.75,6.69,3852.4,28.84,5.79,26.098,5.825,26.1,5.83
6.63,6.75,6.69,3851.6,28.83,5.79,26.091,5.8251,26.09,5.83
6.63,6.81,6.69,3852.9,28.85,5.81,26.078,5.825,26.08,5.83
6.63,6.75,6.69,3852.8,28.84,5.79,26.06,5.8251,26.06,5.83
6.63,6.75,6.69,3850.5,28.82,5.79,26.048,5.825,26.05,5.83
6.63,6.75,6.69,3849.3,28.81,5.79,26.041,5.8252,26.04,5.83
6.63,6.75,6.69,3851.3,28.83,5.79,26.027,5.8251,26.03,5.83
6.63,6.75,6.69,3853.6,28.85,5.79,26.02,5.8252,26.02,5.83
6.63,6.75,6.69,3853.5,28.85,5.79,25.978,5.8252,25.98,5.83
6.63,6.75,6.69,3852.3,28.84,5.79,25.96,5.8253,25.96,5.83
6.63,6.75,6.69,3849.7,28.81,5.79,25.967,5.8252,25.97,5.83
6.63,6.75,6.69,3851.2,28.83,5.79,25.96,5.8254,25.96,5.83
6.63,6.75,6.69,3853.5,28.85,5.79,26.011,5.8252,26.01,5.83
6.63,6.75,6.69,3853.2,28.85,5.79,26.007,5.8254,26.01,5.83
6.63,6.81,6.69,3851.8,28.83,5.81,25.99,5.8255,25.99,5.83
6.63,6.75,6.69,3851.8,28.83,5.79,25.997,5.8252,26,5.83
6.63,6.75,6.69,3852,28.84,5.79,25.99,5.8251,25.99,5.83
6.63,6.75,6.69,3851.6,28.83,5.79,26.007,5.8252,26.01,5.83
6.63,6.75,6.69,3850.5,28.82,5.79,26.03,5.8252,26.03,5.83
6.63,6.75,6.69,3851.6,28.83,5.79,26.027,5.825,26.03,5.83
