OpenCTD,,,,,,,,Commercial CTD,,,,
Raw Data,,,,,Processed Data,,,Raw Data,,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,,Depth (m),Temp C,,Depth (m),Temp C,,Depth (m),Temp Temp C
6.63,6.94,6.63,3554.4,,25.8,5.83,,1.878,11.7241,,1.88,11.72
6.63,6.88,6.63,3569.4,,25.96,5.81,,1.887,11.7241,,1.89,11.72
6.56,6.88,6.63,3584.4,,26.11,5.79,,1.897,11.7251,,1.9,11.73
6.56,6.88,6.63,3599.5,,26.26,5.79,,1.908,11.7269,,1.91,11.73
6.56,6.88,6.56,3616.6,,26.44,5.77,,1.916,11.7276,,1.92,11.73
6.56,6.88,6.56,3633.9,,26.61,5.77,,1.927,11.7275,,1.93,11.73
6.56,6.88,6.56,3647.1,,26.75,5.77,,1.927,11.7276,,1.93,11.73
6.56,6.81,6.5,3663.2,,26.91,5.72,,1.927,11.7276,,1.93,11.73
6.5,6.81,6.56,3679.3,,27.08,5.72,,1.948,11.728,,1.95,11.73
6.5,6.81,6.5,3692.2,,27.21,5.7,,1.957,11.7293,,1.96,11.73
6.5,6.81,6.5,3704,,27.33,5.7,,1.967,11.7294,,1.97,11.73
6.5,6.81,6.56,3715.6,,27.45,5.72,,1.978,11.7294,,1.98,11.73
6.5,6.81,6.5,3731.1,,27.6,5.7,,1.978,11.7296,,1.98,11.73
6.5,6.81,6.5,3747.2,,27.77,5.7,,1.988,11.7298,,1.99,11.73
6.5,6.81,6.5,3756.5,,27.86,5.7,,2.007,11.7304,,2.01,11.73
6.5,6.81,6.5,3767.6,,27.98,5.7,,2.008,11.7306,,2.01,11.73
6.5,6.81,6.5,3783.9,,28.14,5.7,,2.027,11.7304,,2.03,11.73
6.44,6.81,6.5,3813.4,,28.44,5.68,,2.027,11.7306,,2.03,11.73
6.44,6.75,6.5,3840.6,,28.72,5.66,,2.038,11.7311,,2.04,11.73
6.5,6.75,6.44,3847.1,,28.79,5.66,,2.038,11.731,,2.04,11.73
6.44,6.75,6.44,3845.9,,28.77,5.64,,2.047,11.7311,,2.05,11.73
6.44,6.81,6.44,3846.8,,28.78,5.66,,2.069,11.7321,,2.07,11.73
6.44,6.75,6.44,3847.9,,28.79,5.64,,2.069,11.7324,,2.07,11.73
6.5,6.81,6.44,3847.1,,28.79,5.68,,2.088,11.733,,2.09,11.73
6.44,6.81,6.5,3846,,28.77,5.68,,2.098,11.733,,2.1,11.73
6.44,6.81,6.5,3848.3,,28.8,5.68,,2.098,11.7331,,2.1,11.73
6.44,6.81,6.5,3848.4,,28.8,5.68,,2.109,11.7326,,2.11,11.73
6.44,6.81,6.44,3847.6,,28.79,5.66,,2.118,11.733,,2.12,11.73
6.44,6.81,6.5,3847.7,,28.79,5.68,,2.128,11.7323,,2.13,11.73
6.44,6.81,6.5,3848.6,,28.8,5.68,,2.148,11.7321,,2.15,11.73
6.44,6.81,6.5,3848.7,,28.8,5.68,,2.148,11.7323,,2.15,11.73
6.44,6.81,6.5,3847.3,,28.79,5.68,,2.158,11.7316,,2.16,11.73
6.5,6.81,6.5,3847.8,,28.79,5.7,,2.148,11.7316,,2.15,11.73
6.44,6.81,6.5,3849.7,,28.81,5.68,,2.179,11.7316,,2.18,11.73
6.44,6.81,6.5,3849.5,,28.81,5.68,,2.177,11.7313,,2.18,11.73
6.44,6.81,6.5,3847.3,,28.79,5.68,,2.198,11.7308,,2.2,11.73
6.5,6.81,6.5,3847.3,,28.79,5.7,,2.209,11.7306,,2.21,11.73
6.5,6.81,6.44,3848.1,,28.8,5.68,,2.219,11.7296,,2.22,11.73
6.5,6.81,6.5,3850.1,,28.82,5.7,,2.219,11.7285,,2.22,11.73
6.5,6.81,6.5,3849.1,,28.81,5.7,,2.239,11.7278,,2.24,11.73
6.44,6.81,6.5,3848,,28.8,5.68,,2.249,11.7276,,2.25,11.73
6.44,6.81,6.5,3849.1,,28.81,5.68,,2.258,11.7278,,2.26,11.73
6.44,6.81,6.5,3849.1,,28.81,5.68,,2.269,11.7279,,2.27,11.73
6.44,6.81,6.44,3848.1,,28.8,5.66,,2.279,11.7288,,2.28,11.73
6.44,6.81,6.44,3848,,28.8,5.66,,2.289,11.7299,,2.29,11.73
6.44,6.81,6.5,3851.1,,28.83,5.68,,2.309,11.7313,,2.31,11.73
6.44,6.81,6.5,3850.7,,28.82,5.68,,2.298,11.7318,,2.3,11.73
6.44,6.81,6.5,3850.5,,28.82,5.68,,2.319,11.7313,,2.32,11.73
6.44,6.81,6.5,3849.3,,28.81,5.68,,2.338,11.7304,,2.34,11.73
6.5,6.81,6.5,3850.4,,28.82,5.7,,2.34,11.7299,,2.34,11.73
6.44,6.81,6.5,3848.7,,28.8,5.68,,2.359,11.7293,,2.36,11.73
6.44,6.81,6.5,3849.8,,28.81,5.68,,2.359,11.7283,,2.36,11.73
6.44,6.81,6.5,3850.8,,28.82,5.68,,2.379,11.7273,,2.38,11.73
6.44,6.81,6.5,3849.4,,28.81,5.68,,2.389,11.7261,,2.39,11.73
6.44,6.81,6.5,3849.6,,28.81,5.68,,2.4,11.7256,,2.4,11.73
6.5,6.81,6.5,3849.8,,28.81,5.7,,2.41,11.7258,,2.41,11.73
6.5,6.81,6.5,3848.6,,28.8,5.7,,2.419,11.7254,,2.42,11.73
6.44,6.81,6.5,3850.1,,28.82,5.68,,2.419,11.7249,,2.42,11.72
6.5,6.81,6.5,3848.9,,28.8,5.7,,2.44,11.7244,,2.44,11.72
6.5,6.81,6.5,3849.8,,28.81,5.7,,2.449,11.7239,,2.45,11.72
6.5,6.81,6.5,3850.5,,28.82,5.7,,2.459,11.7238,,2.46,11.72
6.5,6.81,6.5,3848.9,,28.8,5.7,,2.47,11.7236,,2.47,11.72
6.44,6.81,6.5,3850.8,,28.82,5.68,,2.48,11.7234,,2.48,11.72
6.5,6.81,6.5,3850.6,,28.82,5.7,,2.489,11.7232,,2.49,11.72
6.5,6.81,6.5,3851.9,,28.83,5.7,,2.5,11.7232,,2.5,11.72
6.5,6.81,6.5,3849.9,,28.81,5.7,,2.51,11.7238,,2.51,11.72
6.5,6.81,6.5,3851.1,,28.83,5.7,,2.529,11.7239,,2.53,11.72
6.5,6.81,6.5,3851,,28.83,5.7,,2.529,11.7242,,2.53,11.72
6.5,6.81,6.5,3850.1,,28.82,5.7,,2.55,11.7242,,2.55,11.72
6.5,6.81,6.5,3848.9,,28.8,5.7,,2.55,11.7244,,2.55,11.72
6.5,6.81,6.5,3849.6,,28.81,5.7,,2.559,11.7248,,2.56,11.72
6.5,6.81,6.5,3851.5,,28.83,5.7,,2.57,11.7246,,2.57,11.72
6.5,6.81,6.5,3851,,28.83,5.7,,2.58,11.7248,,2.58,11.72
6.5,6.81,6.5,3852.9,,28.85,5.7,,2.59,11.7246,,2.59,11.72
6.5,6.81,6.5,3848.8,,28.8,5.7,,2.601,11.7251,,2.6,11.73
6.44,6.81,6.5,3849.6,,28.81,5.68,,2.61,11.7249,,2.61,11.72
6.5,6.81,6.5,3850.5,,28.82,5.7,,2.62,11.7249,,2.62,11.72
6.5,6.81,6.5,3850.2,,28.82,5.7,,2.631,11.7246,,2.63,11.72
6.5,6.81,6.5,3850.2,,28.82,5.7,,2.641,11.7242,,2.64,11.72
6.5,6.81,6.44,3851.3,,28.83,5.68,,2.65,11.7234,,2.65,11.72
6.5,6.81,6.5,3851.4,,28.83,5.7,,2.66,11.7226,,2.66,11.72
6.5,6.81,6.5,3851.2,,28.83,5.7,,2.671,11.7226,,2.67,11.72
6.5,6.81,6.5,3848.7,,28.8,5.7,,2.68,11.7226,,2.68,11.72
6.5,6.81,6.5,3851.7,,28.83,5.7,,2.69,11.7228,,2.69,11.72
6.5,6.81,6.5,3850.8,,28.82,5.7,,2.701,11.7231,,2.7,11.72
6.5,6.81,6.5,3850.6,,28.82,5.7,,2.711,11.7219,,2.71,11.72
6.5,6.81,6.5,3850.6,,28.82,5.7,,2.711,11.7206,,2.71,11.72
6.5,6.81,6.5,3850.5,,28.82,5.7,,2.731,11.7201,,2.73,11.72
6.5,6.75,6.5,3850.4,,28.82,5.68,,2.731,11.7206,,2.73,11.72
6.5,6.81,6.5,3848,,28.8,5.7,,2.741,11.7211,,2.74,11.72
6.5,6.81,6.5,3851.2,,28.83,5.7,,2.751,11.7218,,2.75,11.72
6.5,6.81,6.5,3853.2,,28.85,5.7,,2.76,11.7221,,2.76,11.72
6.5,6.81,6.5,3851.2,,28.83,5.7,,2.781,11.7234,,2.78,11.72
6.5,6.81,6.5,3851.2,,28.83,5.7,,2.771,11.7239,,2.77,11.72
6.5,6.81,6.5,3852.3,,28.84,5.7,,2.79,11.7242,,2.79,11.72
6.5,6.81,6.5,3851.2,,28.83,5.7,,2.79,11.7244,,2.79,11.72
