OpenCTD,,,,,,Commercial CTD,,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C,
13.75,13.38,14.38,1086.9,0.65,13.24,0.599,12.5072,0.6,12.51,
13.75,13.38,14.38,1090.2,0.68,13.24,0.608,12.5064,0.61,12.51,
13.75,13.38,14.38,1088,0.66,13.24,0.609,12.5064,0.61,12.51,
13.75,13.44,14.38,1091.3,0.69,13.26,0.608,12.5059,0.61,12.51,
13.75,13.44,14.38,1086.9,0.65,13.26,0.609,12.5059,0.61,12.51,
13.75,13.44,14.38,1091.3,0.69,13.26,0.617,12.506,0.62,12.51,
13.75,13.44,14.38,1091.3,0.69,13.26,0.619,12.5059,0.62,12.51,
13.75,13.44,14.44,1086.9,0.65,13.28,0.617,12.505,0.62,12.51,
13.75,13.44,14.44,1089.1,0.67,13.28,0.619,12.5047,0.62,12.5,
13.75,13.44,14.44,1092.4,0.71,13.28,0.627,12.5049,0.63,12.5,
13.75,13.38,14.38,1085.7,0.64,13.24,0.619,12.505,0.62,12.51,
13.75,13.44,14.38,1088,0.66,13.26,0.619,12.5045,0.62,12.5,
13.75,13.44,14.38,1093.5,0.72,13.26,0.627,12.5042,0.63,12.5,
13.75,13.44,14.44,1089.1,0.67,13.28,0.619,12.5044,0.62,12.5,
13.75,13.44,14.44,1085.7,0.64,13.28,0.627,12.5046,0.63,12.5,
13.75,13.44,14.44,1095.7,0.74,13.28,0.619,12.5045,0.62,12.5,
13.75,13.44,14.44,1083.5,0.61,13.28,0.627,12.5045,0.63,12.5,
13.75,13.44,14.38,1091.3,0.69,13.26,0.619,12.5062,0.62,12.51,
13.75,13.38,14.38,1096.9,0.75,13.24,0.627,12.5068,0.63,12.51,
13.75,13.38,14.38,1080.2,0.58,13.24,0.619,12.5062,0.62,12.51,
13.75,13.38,14.38,1093.5,0.72,13.24,0.627,12.5055,0.63,12.51,
13.75,13.38,14.31,1098,0.76,13.21,0.619,12.506,0.62,12.51,
13.69,13.38,14.31,1076.9,0.55,13.19,0.627,12.507,0.63,12.51,
13.75,13.38,14.31,1096.9,0.75,13.21,0.619,12.5075,0.62,12.51,
13.69,13.38,14.31,1089.1,0.67,13.19,0.627,12.5071,0.63,12.51,
13.69,13.38,14.31,1086.9,0.65,13.19,0.619,12.5057,0.62,12.51,
13.69,13.38,14.31,1095.7,0.74,13.19,0.627,12.5051,0.63,12.51,
13.69,13.38,14.31,1084.6,0.63,13.19,0.619,12.5052,0.62,12.51,
13.69,13.38,14.31,1090.2,0.68,13.19,0.627,12.5049,0.63,12.5,
13.69,13.31,14.31,1090.2,0.68,13.17,0.63,12.5053,0.63,12.51,
13.69,13.38,14.31,1089.1,0.67,13.19,0.619,12.5068,0.62,12.51,
13.75,13.38,14.31,1093.5,0.72,13.21,0.627,12.508,0.63,12.51,
13.75,13.38,14.31,1082.4,0.6,13.21,0.619,12.5095,0.62,12.51,
13.75,13.38,14.31,1091.3,0.69,13.21,0.617,12.5124,0.62,12.51,
13.75,13.38,14.31,1092.4,0.71,13.21,0.63,12.5159,0.63,12.52,
13.75,13.38,14.31,1086.8,0.65,13.21,0.617,12.5168,0.62,12.52,
13.75,13.38,14.31,1090.2,0.68,13.21,0.63,12.517,0.63,12.52,
13.75,13.38,14.31,1089.1,0.67,13.21,0.617,12.5166,0.62,12.52,
13.75,13.38,14.31,1089.1,0.67,13.21,0.619,12.5151,0.62,12.52,
13.75,13.44,14.31,1089.1,0.67,13.23,0.627,12.5148,0.63,12.51,
13.75,13.44,14.31,1088,0.66,13.23,0.619,12.5149,0.62,12.51,
13.81,13.44,14.31,1091.3,0.69,13.25,0.627,12.5124,0.63,12.51,
13.75,13.44,14.31,1089.1,0.67,13.23,0.619,12.5126,0.62,12.51,
13.81,13.44,14.38,1084.6,0.63,13.28,0.627,12.5139,0.63,12.51,
13.75,13.38,14.38,1094.6,0.73,13.24,0.619,12.5112,0.62,12.51,
13.75,13.44,14.38,1081.3,0.59,13.26,0.617,12.5116,0.62,12.51,
13.75,13.44,14.38,1092.4,0.71,13.26,0.619,12.5112,0.62,12.51,
13.75,13.38,14.38,1091.3,0.69,13.24,0.617,12.5098,0.62,12.51,
13.75,13.44,14.31,1085.7,0.64,13.23,0.619,12.5099,0.62,12.51,
13.75,13.44,14.31,1089.1,0.67,13.23,0.617,12.511,0.62,12.51,
13.75,13.38,14.31,1093.5,0.72,13.21,0.609,12.5117,0.61,12.51,
13.75,13.38,14.38,1082.4,0.6,13.24,0.609,12.5107,0.61,12.51,
